position,company,description,reviews,location
Windows Programmer / Software Engineer - Intermediate/Senior -ELSYS -7332,The Goal Inc.,"Summary: This position supports the development of software for Department of Defense aircraft defensive system improvement programs.
Details &amp; Basic Responsibilities
• Develops software for Military applications dealing with defensive and avionics systems, Ethernet, MIL-STD-1553, military data links.
Work with Systems Engineers to specify high-level requirementsDevelops task cost and schedule and track to completionDevelop software requirements and design for new or existing applicationsDocuments and presents proposed requirements/design using appropriate visualizationsDevelop software using approved coding standards and processes
EDUCATION &amp; LENGTH OF EXPERIENCE
Research Engineer/Scientist II
A Master’s degree in Computer Science and three (3) years of relevant full-time experience after completion of that degree,
A Doctoral degree in Computer Science.
Senior Research Engineer/Scientist
A Master’s degree in Computer Science and seven (7) years of relevant full-time experience after completion of that degree,
A Doctoral degree in Computer Science and four (4) years of relevant full-time experience.
REQUIRED MINIMUM QUALIFICATIONS
1. Strong understanding of full life-cycle development process
2. Experience with Windows programming
3. Strong coordination, organization, teaming and communication abilities
4. Works well individually or in a group setting
5. Ability to work under pressure and time constraints
6. Successfully presents technical information
7. Direct DOD experience for candidates who have greater than five years work experience
PREFERRED QUALIFICATIONS
1. Five to ten years’ experience in C++, C#, GUI, MFC, WinForms, WPF/XAML, MVC, MVVM, SQL, XML/XSD, MS Build, MS Test, NUnit
2. Effectively directs small teams of employees as a task leader
3. Active DOD SECRET clearance is preferred
U.S. CITIZENSHIP REQUIREMENTS
Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.
CLEARANCE TYPE REQUIRED
Ability to obtain Secret Clearance upon hire
DIVERSITY &amp; INCLUSION
Diversity &amp; Inclusion (D&amp;I) aims to enhance the Institute’s mission of solving the world’s most complex technical problems by creating a workforce with a shared appreciation for diversity, raising awareness around inclusiveness, and fostering a sense of belonging and appreciation for all members of our community.
EQUAL EMPLOYMENT OPPORTUNITY
We are an Equal Opportunity Employer of individuals with disabilities and protected veterans and actively seeks diversity among its employees. Equal Employment Opportunity is the Law.
JID: 493597",,"Atlanta, GA"
Sr. Data Engineer,Optomi,"Sr. Data Engineer (Python) (Full-Time) Duluth, GeorgiaOptomi in partnership with our direct client in the Manufacturing space is seeking a Sr. Data Engineer to work with Python on their Center of Excellence team. The team is implementing big data technologies like Hadoop, but this isn’t a requirement. You will be on the center of excellence team leading the evaluation and implementation of data engineering technologies, tools, and frameworks utilizing big data and cloud services supporting their data science, data warehousing, and visualization investments. These efforts will help drive the strategic vision for self-service reporting and decision support within the company.What the right person will enjoy: An extremely stable and growing company with the newest technologies!Very work/life balance friendly company- you can work from home and have flexible hours on most teamsThey are way more than a paper company- they are using innovative analytics to drive the business forward!They work with a ton of big name brands and clients so it will be awesome to add that to your resume!Competitive bonus and stock options, including an impressive 401k matchThis company is very focused on transforming their systems and operations to be as cutting edge as possibleApply today if your background includes: Minimum of 6 years of strong software development experienceAt least 3 years of experience with deployment of enterprise-scale solutions on-premise and to the cloud with technologies like AWSExperience with Python scripting language or something very similar!Cloud knowledge/experience is a huge plus (Azure or AWS)Preferred experience with Spark, Polygot (can train on this if needed)Git and SQL knowledgeKey Responsibilities: The Data Engineering Team gathers and collects the data, stores it, does batch processing or real-time processing on it, and serves it via an API to a Data Scientist who can easily query itPolyglot persistence – someone well-versed using different data storage technologies to handle varying data storage needsNeed to be open to learning new technologies and continuous growthJob Type: Full-timeExperience:Python Development: 5 yearsRequired work authorization:United States",16,"Atlanta, GA"
"Team Lead – Informatics. Sensus USA Inc. Atlanta, Georgia",Xylem,"Team Lead – Informatics. Sensus USA Inc. Atlanta, Georgia. (Must telecommute from anywhere in the U.S. and report to Atlanta, GA site). Lead the development of predictive and prescriptive models of large infrastructure. Support technical modeling of thousands to millions of time series to address manufacturing, customer analytics, and R&amp;D projects.

Establish project scope, time-line, and stage gates. Effectively communicate progress and blockers with stakeholders, tailoring communication to the appropriate level for various audiences. Collaborate with product teams, the business, and other stakeholders to incorporate feedback. Effectively communicate results in written, oral and presentation formats, assist in setting overall analytics department strategy. Assist in growing the modeling team by recruiting top analytical talent. Direct the research of new statistical and mathematical techniques that are suitable and helpful for solving business related problems in the utility analytics and distributed environmental sensing spaces. Supervise 4-6 peer Data Scientists. Requires a Master’s degree in Computer Science, Machine Learning, Statistics, Operations Research, Industrial Engineering or related or equivalent. Requires three (3) years of experience with: techniques and methodologies for statistical analysis and modeling; programming (R, C++, Java and Python); making oral presentations and written analyses; and two (2) years: time series analytics, preprocessing of unstructured information, dimension reduction; deep learning technologies for time series; effectively communicating analytic results; Hadoop and Spark technologies; &amp; one (1) year: cyber threat and anomaly detection technologies; Agile development as applied to data science commercialization; devops, cloud engineering, and hardware as a service abstraction; and working with cross-functional teams. Requires 10% U.S and International travel for training and customer meetings. Apply: Send resumes to Sensus USA, Inc. 639 Davis Drive Morrisville, NC 27560 (Attn: Robin Rowan) Ref# 100026",257,"Atlanta, GA"
Electrical / Substation Design Engineer,Burns & McDonnell,"Description
Responsible for preparation of high voltage (69-500kV) Substation construction documents. Experienced in either/both microprocessor based protection and control systems or layout of substations. Provide short term field support during construction.
Assignments may include:
Design substations utilizing client standards including bill of materials, yard layouts, plans, sections and details, grounding, ground grid, control building arrangements, interior and exterior raceways, auxiliary AC and DC power systems, and cable lists.
Prepare calculations and equipment specifications.
Prepare new and modify existing relay drawings including relay panel arrangements, single lines, three lines, AC schematics, DC elementaries, equipment wiring, and relay panel wiring.
Assess feasibility or soundness of proposed applications when data is insufficient or testing is advisable.
Coordinate departmental or divisional project studies, reports or project design assignments. Progressive design and project management responsibilities.
Provide leadership, guidance and instruction to less experienced staff members.
Regularly meet and correspond with clients or outside personnel.
Some marketing responsibilities.
Other duties as assigned.
Qualifications
Bachelor's degree in electrical engineering from accredited program. Minimum 3 years related experience (completion of master's degree in related field may be substituted for one year of experience). Experience in setting microprocessor based relays is a plus. Excellent written &amp; verbal communication skills. Strong analytical and problem solving skills. This position requires an experienced and competent individual capable of successfully solving difficult problems that require adaptation and modification of standard techniques, procedures and criteria. Must be capable of devising new approaches to problems encountered. Completion of FE exam strongly preferred.
Job Electrical Engineering
Primary Location US-GA-Atlanta
Schedule: Full-time
Travel: Yes, 15 % of the Time
About Burns &amp; McDonnell
Burns &amp; McDonnell is making the world a more amazing place with more than 5,000 engineers, architects, construction professionals, scientists and consultants on staff and growing. We strive to create amazing success for our clients and amazing careers for our employee-owners. We take on some of the world’s toughest challenges with the industry’s best thinking.
We have offices and projects spanning the US and the globe. We are proud to rank among FORTUNE magazine’s 100 Best Companies to Work For. Our culture of 100% employee ownership plays a major role in supporting that outcome. Each employee shares in the ownership of the firm, bringing the commitment of an owner to our projects. Clients appreciate that and have rewarded us with a 90% repeat business rate and decades-long partnerships. Pretty cool for a 100 year old firm that grows organically.
At Burns &amp; McDonnell, you’ll have the opportunity to make a difference every day while fulfilling your personal and professional ambitions. Our entrepreneurial culture lets you guide your destiny and shape the path your career travels. And with more than 350 service specialties, your career and development options are abundant.
Burns &amp; McDonnell is an Equal Opportunity Employer Minorities/Females/Disabled/Veterans
Req ID: 181304
LIBH",152,"Atlanta, GA 30309 "
Windows Programmer / Software Engineer (Advanced Degree) - ELSYS,Georgia Tech Research Institute,"This position supports the development of software for Department of Defense aircraft defensive system improvement programs.

Basic Responsibilities
Develops software for Military applications dealing with defensive and avionics systems, Ethernet, MIL-STD-1553, military data links.Work with Systems Engineers to specify high-level requirementsDevelops task cost and schedule and track to completionDevelop software requirements and design for new or existing applicationsDocuments and presents proposed requirements/design using appropriate visualizationsDevelop software using approved coding standards and processes

EDUCATION &amp; LENGTH OF EXPERIENCE
Research Engineer/Scientist II

A Master’s degree in Computer Science and three (3) years of relevant full-time experience after completion of that degree,
A Doctoral degree in Computer Science.
Senior Research Engineer/Scientist

A Master’s degree in Computer Science and seven (7) years of relevant full-time experience after completion of that degree,
A Doctoral degree in Computer Science and four (4) years of relevant full time experience.
REQUIRED MINIMUM QUALIFICATIONS
1. Strong understanding of full life-cycle development process
2. Experience with Windows programming
3. Strong coordination, organization, teaming and communication abilities
4. Works well individually or in a group setting
5. Ability to work under pressure and time constraints
6. Successfully presents technical information
7. Direct DOD experience for candidates who have greater than five years work experience

PREFERRED QUALIFICATIONS
1. Five to ten years’ experience in C++, C#, GUI, MFC, WinForms, WPF/XAML, MVC, MVVM, SQL, XML/XSD, MSBuild, MSTest, NUnit
2. Effectively directs small teams of employees as a task leader
3. Active DOD SECRET clearance is preferred

U.S. CITIZENSHIP REQUIREMENTS
Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.

CLEARANCE TYPE REQUIRED
Ability to obtain Secret Clearance upon hire

DIVERSITY &amp; INCLUSION",496,"Atlanta, GA 30318 "
Electrical/Computer Engineer - EOSL,Georgia Tech Research Institute,"This job is for a full-time research faculty position in the Electro-Optical Systems Innovation Division (EOSID) with the Electro-Optical Systems Laboratory (EOSL) at the Georgia Tech Research Institute (GTRI). The main responsibility will be providing expertise in the full imaging chain to conceptualize, design, analyze, build, and test optical systems that meet customer requirements and internal research goals.The job provides opportunities to develop advanced technology and publish research.

EOSID’s research is performed in the areas of Intelligence, Surveillance, and Reconnaissance (ISR), Intelligent Sensors and Imaging Systems (ISIS), and Active Electro-Optic Systems. Our team designs, builds, and tests the hardware in the entire imaging chain. Key technical areas include Hyperspectral and Multispectral Imaging Processing; EO System and Component Analysis and Characterization; Optical Imaging and Tagging; and Airborne Lidar System Design, Construction, and Operation for real-time topography, FOPEN, and bathymetry.

We offer a flexible work environment allowing each researcher to pursue his or her interests and strengths, integrated with the overall mission of the branch and the lab. If you have aspirations for an advanced degree, all the better. Because GTRI is a research unit within Georgia Tech, you can get your graduate school paid for and pursue an additional engineering, science or math degree you desire from a world class research institution. We highly encourage our research developers to pursue advanced technical degrees and professional development courses.

Education &amp; Length of Experience
Research Engineer/Scientist I

A Bachelor's degree in Electrical and Computer Engineering, Computer Science, Physics.
Research Engineer/Scientist II

A Master’s degree in Electrical and Computer Engineering, Computer Science, Physics and three (3) years of relevant full-time experience after completion of that degree,
A Doctoral degree in Electrical and Computer Engineering, Computer Science, Physics.
Experience:
0-7 years of professional or graduate experience

Duties related to this position are listed below with the estimated amount of time spent at each task:

1.) Lead and contribute to key technical efforts in the analysis, construction, and design of optical systems for remote sensing applications. (65%)
2.) Document work in memoranda, sponsor briefs, conference proceedings, and journal articles. Brief senior leadership and sponsors as required. (15%)
3.) Support field integration, data collection, and other testing activities at test sites and facilities (travel may be required). (10%)
4.) Participate in new business development efforts by contributing to white papers, RFI/RFP responses, and sponsor briefs, and by proposing new research areas suitable for internal research and development (IR&amp;D) funding. (10%)

Qualified candidates should have experience, education, and/or expertise in one or more of the following areas:

1.) Digital Signal Processing
2.) Embedded hardware/software
3.) Mixed signal printed circuit board (PCB) design (RF/Analog/Digital)
4.) Ruggedized cables and connectors
5.) Photonic component selection
6.) Signal integrity, electromagnetic interference mitigations, high-speed design principles
7.) Advanced linear algebra, numerical methods, probability &amp; statistics, and optimization mathematical skills
8.) Modulation/Demodulation techniques
9.) Electro-optics
10.) LIDAR, RADAR, Hyperspectral Imagers, EO/IR cameras

Additionally, candidates should have experience working with one or more of the following:

1.) Programming/scripting in Matlab, Python
2.) C/C++, C#, Visual Studio, VHDL, Verilog, LabVIEW
3.) Communication interfaces/protocols (RS-232, TCP/IP, Cameralink, etc.)
4.) Schematic/Layout experience with EAGLE, OrCAD, Cadence, Altium
5.) Programming Cypress, PIC, ARM, MSP430 microcontrollers
6.) Oscilloscopes, arbitrary waveform generators, vector network analyzers, spectrum analyzers, multi-meters
7.) Surface mount technology assembly
8.) Project management or task leadership skills

U.S. Citizenship Requirements
Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.

Clearance Type Required
Ability to obtain Secret Clearance upon hire

Diversity &amp; Inclusion",496,"Atlanta, GA 30318 "
Windows Programmer / Software Engineer - Entry/ Intermediate -ELSYS - 7333,The Goal Inc.,"Summary: This position supports the development of software for Department of Defense aircraft defensive system improvement programs.
Details:
This position supports the development of software for Department of Defense aircraft defensive system improvement programs.
Basic Responsibilities
• Develops software for Military applications dealing with defensive and avionics systems, Ethernet, MIL-STD-1553, military data links.
Work with Systems Engineers to specify high-level requirementsDevelops task cost and schedule and track to completionDevelop software requirements and design for new or existing applicationsDocuments and presents proposed requirements/design using appropriate visualizationsDevelop software using approved coding standards and processes
EDUCATION &amp; LENGTH OF EXPERIENCE
Research Engineer/Scientist I
A Bachelor's degree in Computer Science.
REQUIRED MINIMUM QUALIFICATIONS
1. Strong understanding of full life-cycle development process
2. Experience with Windows programming
3. Strong coordination, organization, teaming and communication abilities
4. Works well individually or in a group setting
5. Ability to work under pressure and time constraints
6. Successfully presents technical information
PREFERRED QUALIFICATIONS
1. Experience in C++, C#, GUI, MFC, WinForms, WPF/XAML, MVC, MVVM, SQL, XML/XSD, MS Build, MS Test, NUnit
2. Effectively directs small teams of employees as a task leader
3. Active DOD SECRET clearance is preferred
U.S. CITIZENSHIP REQUIREMENTS
Due to our research contracts with the US federal government, candidates for this position are required to be US Citizens.
CLEARANCE TYPE REQUIRED
Ability to obtain Secret Clearance upon hire
DIVERSITY &amp; INCLUSION
Diversity &amp; Inclusion (D&amp;I) aims to enhance the Institute’s mission of solving the world’s most complex technical problems by creating a workforce with a shared appreciation for diversity, raising awareness around inclusiveness, and fostering a sense of belonging and appreciation for all members of our community.
EQUAL EMPLOYMENT OPPORTUNITY
We are an Equal Opportunity Employer of individuals with disabilities and protected veterans and actively seeks diversity among its employees. Equal Employment Opportunity is the Law.
JID: 493622",,"Atlanta, GA"
Principal Research Scientist,Headway Workforce Solutions,"Headway Workforce Solutions is currently seeking a Principal Research Scientist with experience in information management of scientific surveillance data sets such as those obtained from studies in virology, immunology, diagnostic research, and studies of economic impact of diseases. Information obtained from surveillance data would then be used in strategic decision making, prevention and control program planning and program effectiveness evaluation during influenza outbreaks, epidemics or pandemics. The position is located in the Influenza Division (ID) of the National Center for Immunization and Respiratory Diseases (NCIRD), Office of Infectious Disease (OID).

ISS is working with HHS/CDC in supporting efforts for pandemic influenza preparedness. The CDC ID provides critical standards for pandemic preparedness to the U.S. State Public Health Laboratories and acts as a World Health Organization (WHO) reference laboratory supporting international influenza surveillance and response networks. Rapid genetic and antigenic characterization of circulating viral strains coupled with vaccine development are essential components to increase pandemic readiness and response. ISS is supporting CDC in research and development efforts to eliminate data gaps in influenza surveillance by increasing the diagnostic and immunization tools available to clinical providers, public health laboratories and domestic and international partners. Relocation support is not available for this position.

Major Responsibilities:
Conduct literature searches using electronic databases, such as Embase, MEDLINE, and PubMed

Synthesize primary and meta-analytical research literature as evidence for facilitating policy decisions..

Conduct GRADE-based reviews of critical public-health questions

Author/co-author technical papers and systematic review results

Manage influenza data to carry out surveillance, program evaluation and research studies on influenza, based on modeling and other statistical and epidemiological approaches. The studies will focus on epidemiology and impact of influenza.

Design tables and graphics for presentations and documents.

Edit policy monographs for accuracy, conciseness and readability.

Establish and maintain ties with a broad range of epidemiological researchers inside and outside of CDC.

Communicate progress orally and in writing with technical monitor and other researchers.

Assist the technical monitor with preparation of reports, presentations and papers for publication in scientific journals.

Position Requirements:
PhD with 2-5 years, MPH/MS with 5-8 years or BS with 8-10 years of experience with an emphasis in public health, epidemiology, statistics, information management.

Knowledge of basic epidemiologic principles, methods, and tools.

Knowledge about field techniques used to collect questionnaire data and clinical specimens and the ability to utilize the knowledge and apply it to the design, implementation, analysis, and interpretation of surveillance systems and epidemiologic and studies.

Statistical skills in manipulating large and complex data sets.

Ability to perform statistical analyses using a wide range of quantitative techniques in SAS, including multivariate logistic regression and multivariate linear regression.

Meticulous self-starter

Physical Requirements:
Candidate must be able to communicate through speech and listening

Must be able to read, write, type, and use a telephone.

The employee is occasionally required to use hands to finger, handle, feel or operate objects, tools, or controls; and reach with hands and arms.

Legal Disclaimer:
The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle's Legal Department.

Headway Workforce Solutions provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Headway Workforce Solutions complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.",209,"Atlanta, GA"
Senior Business Intelligence Analyst,The Home Depot,"A Sr Business Intelligence Analyst Supply Chain leverages proven technical abilities to synthesize complex analytical tasks into easily understood data-driven stories. Responsible for working collaboratively among other talented analysts to apply established and create new analytical processes on diverse datasets to deduce insights and solve real-world business problems. Also ensures that all reporting and analytical responsibilities are completed competently in a timely manner, continually seeks out opportunities to learn new and hone existing technical skills (e.g. writing SQL/code, statistics, machine learning, etc.) and operates under minimal supervision and mentorship of more experienced managers and data scientists.

MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES

30%-Leverages data analytics tools to create new dashboards, reports, and any additional ad-hoc requests
20%-Executes existing reporting and analytical responsibilities
20%-Ensures the quality of work output by displaying a keen attention to detail
20%-Presents findings in easily understood ways, focuses on how the data analytics fits into the bigger picture
10%-Develops additional technical competencies and subject matter expertise within core functional group NATURE AND SCOPE
This position reports to Manager or Sr Manager
This position has no Direct Reports

ENVIRONMENTAL JOB REQUIREMENTS

Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Travel:
Typically requires overnight travel less than 10% of the time.
MINIMUM QUALIFICATIONS
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.

Years of Relevant Work Experience: 2 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Additional Qualifications:
B.S. in Computer Science, Math, Engineering, Finance, or related quantitative field.
Work experience with MS Excel, MS Access, SQL Server, Teradata, Oracle, or comparable database systems. Preferred Qualifications:

2-4 years work experience in data mining, statistical analysis, auditing, and/or forecasting.
An intermediary understanding of SQL or working directly with MS Access joining relational tables together and/or some knowledge of one other scripting/compiled/statistical programming language (e.g. VBA, Python, R, SAS, .NET, C++, Java, etc.)
Experience building reports/analyses with analytical tools (e.g. Excel, JMP, SAS, Mathematica, SPSS, Tableau, etc.)
Prior direct experience in analyzing the relevant subject matter (e.g. Supply Chain, Merchandising, Operations, etc.) Knowledge, Skills, Abilities and Competencies:

Critical thinking skills to identify the strengths and weaknesses of alternative solutions; ability to understand and foresee implications of new information for current and future problems solving.
An unquenchable intellectual curiosity for getting at the underlying story being told within the data.
Strong written and verbal communications skills. Ability to persuade, inform, and influence others based on findings. A track record of taking complex results and communicating them in an easily understood way.
Superior interpersonal skills and ability to collaborate actively and work in a team environment.
Ability to quickly learn and adapt to new technologies, tools, and techniques.",38844,"Atlanta, GA"
"Senior Software Engineer, Machine Learning","Pandora Media, Inc.","At Pandora, we're a unique collection of engineers, musicians, designers, marketers, and world-class sellers with a common goal: to enrich lives by delivering effortless personalized music enjoyment and discovery. People—the listeners, the artists, and our employees—are at the center of our mission and everything we do. Actually, employees at Pandora are a lot like the service itself: bright, eclectic, and innovative. Collaboration is the foundation of our workforce, and we’re looking for smart individuals who are self-motivated and passionate to join us. Be a part of the engine that creates the soundtrack to life. Discover your future at Pandora!

Want to work on retaining, engaging and growing our listener base?

Pandora has a great opportunity for a seasoned software engineer with several years of diverse experience who will help deliver Pandora to millions of music fans. We are looking for someone who will own, lead, and execute projects. You should have outstanding analytical and programming skills with a deep understanding and proven track record of building robust, scalable, multithreaded applications. As a member of our highly motivated team, you should be dedicated to excellence and have a strong sense of personal responsibility. We hold ourselves to high standards and take pride in our work.

Requirements:
Minimum five years of professional engineering experience
Expert level experience developing object oriented software
Team player with excellent communication and interpersonal skills
Significant experience with API development ( REST, JSON, XML )
Significant experience developing scalable, multithreaded server side software for deployment on Unix based systems
Significant experience working with database systems ( PostgreSQL, Redis )
Significant experience unit testing with frameworks and a dedication to thorough testing to create high quality software
Experience with data science, machine/deep learning algorithms and/or statistical modeling.

Plus Requirements:
Experience developing high quality software in Python
Experience with recommender systems.
Experience with NoSQL architectures and map-reduce concepts atop Hadoop, HDFS, and Hive
Experience with distributed messages systems ( Apache Kafka )
Experience with production operational issues
BA/BS or better in Computer Science or related field

Pandora is committed to diversity in its workforce. Pandora is an equal employment opportunity employer and considers qualified applicants without regard to gender, sexual orientation, gender identity, race, veteran or disability status. Women and people of color are encouraged to apply.

Pandora is also a VEVRAA federal contractor. Pandora requests priority referrals of protected veterans from each ESDS, as required by regulation.

If you believe you need a reasonable accommodation in order to search for a job opening or to apply for a position, please contact us by sending an email to disability@pandora.com This email box is designed to assist job seekers who require a reasonable accommodation to the application process. A response to your request may take up to two business days.

In your email, please include the following:The specific accommodation requested to complete the employment application.The location or office to which you would like to applyThe subject of the email should read ""Request for Reasonable Accommodation"".",33,"Atlanta, GA"
Scientist,R&D Partners,"Description:
The scientist works in development, analysis, and troubleshooting on new and existing products. Duties encompass execution of testing of bulk and surface polymer properties in support of a variety of protocols, work flow scheduling, instrument maintenance, gauge improvement and assistance with new gauge development.

Major Accountabilities:
Performs experiments in mechanical, surface and/or permeability techniques of polymers and contact lenses, including sample preparation, as well as associated calculations of results with minimal supervision, according to established SOPs or protocols.
Responsible for instrument / equipment set-up, adjustment, operation, and maintenance including troubleshooting and advanced functionality assessment.
Assists with design and development of new analytical gauges and methods to meet project needs.
Applies fundamental level analysis to provide solutions to rudimentary problems arising within the department.
Helps administer safety and quality systems for the laboratory, including maintaining documents and records for cGxP / OSHA compliance.
Effective collaboration with cross functional team members
Skills:
B.S/M.S in science or engineering (preferred)discipline with 2+ year experience. Proficiency in English essential
2+ years of relevant hands-on experience with testing and data handling in an industrial or R&amp;D laboratory setting required.
Contact lens or medical device experience in mechanical, permeability and/or surface techniques testing preferred
Proficient with Microsoft Excel , Word, Powerpoint.
Basic statistics desirable
Mechanical aptitude required
Key attention to details
cGxP experience desirable",4,"Atlanta, GA"
Staff CAD Technician,Golder Associates,"Staff CAD Technician
 - (18001114)

At Golder, we thrive on challenges.

Golder is not just a place to work, it is a promise of a living, dynamic environment where people collaborate, innovate, build enduring relationships, excel, and grow professionally in a strong culture of ownership.

Do you have the desire to learn? The drive to excel and thrive in an engaged, collaborative environment?

Golder Associates is seeking an intermediate level Staff CAD Technician to join its team based in Atlanta. In this role you will work with a team of talented engineers and scientists on various projects for the manufacturing, mining, power, waste, and water sectors. This position is a critical link between Golder staff and the success of our projects. The successful candidate will be involved in a broad range of responsibilities including but not limited to the followingWork closely with the Atlanta consulting staff to fit the needs of our internal and external clients in providing engineering design and drafting services;
Prepare key plans, site plans, and site design drawings including cross-sections, profiles, engineering details, geologic sections, construction drawings, as-built drawings, tender documents, figures, sketches, and charts for presentation in reports and proposals;
Reduce topographic data and survey field notes;
Prepare drill hole logs and stratigraphic sections to be included in drawings and report figures;
Perform various calculations and provide technical assistance to the project design teams; and
Be responsible for product quality control with adherence to company standards and procedures.


A Degree in Civil Engineering design or equivalent discipline is preferred, with at least 3 years’ work experience using AutoCAD, Land Development and Civil Design or Civil 3D; or

A technical diploma focusing on CAD or Civil 3D, with 5 years relevant experience in grading and civil design; or

A High school diploma and minimum 10 years of relevant AutoCAD experience with an understanding of grading and civil design.
Ability to work with AutoCAD and Civil 3D under the direction of technical staff in a detail-oriented manner;

 A keen understanding of drawing layout, clarity, and aesthetics.

The following qualifications are a plus:

Ability to prioritize and respond to the needs of several people;

Ability to meet tight deadlines and work under pressure;

Strong sense and commitment to CAD standards and procedures;

Ability to work with the following software would be considered an asset: GIS, AutoCAD Map, Raster Design, MicroStation, AutoLisp, AutoCAD Visual Basic for Applications, MS Office (MS Word, MS Excel, MS PowerPoint, and MS Access), CorelDraw, Corel PhotoPaint, and Adobe Acrobat;

Good problem solver with ability to identify alternative solutions;

Strong oral and written communication skills; and

This role may require occasional travel. Candidates able to travel either nationally or internationally is a plus.

Your benefits at Golder will include:
 Competitive benefits and remuneration packages
 Option to purchase shares in Golder
 Employee owned structure - own the business, own the result
 Deepen your expertise in a dynamic work environment
 Innovative and collaborative multidisciplinary projects
 On the job training, mentoring and coaching

Renowned for technical excellence, Golder is a leading, global employee-owned engineering and consulting firm with over a half century of successful service to its clients. With over 165 offices in over 40 countries, Golder’s 6,500 professionals are driven by a passion to deliver results, offering unique specialized skills to address the ever-evolving challenges that earth, environment and energy present to clients across the infrastructure, mining, oil and gas, manufacturing and power sectors.

Equal Opportunity Employment Statement

Golder is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law. Golder is a background screening, drug-free workplace.

To learn more about our company and culture click here to view The Promise of Golder video.
Primary Location US-GA-ATLANTA
Schedule Full-time
Employee Status Regular
Travel Yes, 10 % of the Time
Experience (Minimum Yrs.) 5
Job Posting Jun 19, 2018, 8:12:47 AM",307,"Atlanta, GA 30341"
